nama,harga,category,gambar,link_product,product_type,color_and_material,size
ALEX,1350000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/437/1043718_PH167220_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977775_PE813763_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/alex-art-40473549,unit laci, putih, 36x70 cm
LENNART,249000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/741/0974162_PH172787_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/954/0395412_PE564513_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/lennart-art-10326178,unit laci, putih,
MICKE,1799000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/360/0736018_PE740345_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/732/0773258_PH161164_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-80354276,meja, putih, 105x50 cm
HELMER,499000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/327/0832764_PH166181_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/752/0175264_PE328644_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/helmer-art-90251046,unit laci beroda, putih, 28x69 cm
MICKE,1999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/982/0798273_PH165490_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/360/0736020_PE740347_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-40354278,meja, putih, 142x50 cm
LENNART,249000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/671/1267153_PE928404_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/742/1274296_PE930247_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/lennart-art-80583386,unit laci, hitam,
ADILS/LINNMON,479000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/371/0737165_PE740925_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/346/0734654_PE739562_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/adils-linnmon-spr-09246408,meja, putih, 100x60 cm
LAGKAPTEN/ADILS,679000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977795_PE813778_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/772/0977229_PE813472_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-09416759,meja, putih, 120x60 cm
LAGKAPTEN/ADILS,1249000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/761/0976151_PE813044_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977882_PE813906_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/lagkapten-adils-spr-99417575,meja, putih, 200x60 cm
HELMER,599000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/906/0490648_PE624587_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/741/0974152_PH174075_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/helmer-art-00341971,unit laci beroda, hitam, 28x69 cm
MICKE,2999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/036/0403684_PE565688_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/343/0734328_PE739442_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-20354284,meja kerja sudut, putih, 100x142 cm
ALEX,1350000,"{' Ruang kerja rumah', ' Ruang kerja ', 'Showroom ', ' Penyimpanan ruang kerja rumah '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977774_PE813762_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/600/1160050_PE888728_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/penyimpanan-ruang-kerja-rumah/alex-art-90483800,unit laci, abu-abu toska, 36x70 cm
MALM,2599000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/359/0735980_PE740314_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/983/0798308_PH165495_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/malm-art-20361152,meja dengan panel tarik, putih, 151x65 cm
HAUGA,1599000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/557/0955765_PE804101_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/594/0959496_PE806036_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/hauga-art-30477675,meja, krem, 100x45 cm
ALEX/LAGKAPTEN,2089000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/224/1022428_PE832716_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/778/0977800_PE813782_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/alex-lagkapten-spr-29431928,meja, putih, 140x60 cm
MALSKÄR/LOBERGET,559000,"{' Ruang kerja rumah', ' Ruang kerja ', ' Kursi kerja rumah ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/784/1078458_PE857202_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/784/1078478_PE857214_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/kursi-kerja-rumah/malskar-loberget-spr-59445467,kursi putar, putih,
MICKE,1999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/360/0736019_PE740346_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/031/0403166_PE565225_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-60354277,meja, hitam-cokelat, 142x50 cm
TORALD,249000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/554/1055403_PE847976_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/731/1073186_PE855653_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/torald-art-70493956,meja, putih, 65x40 cm
ALEX/LAGKAPTEN,1889000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/777/0977795_PE813778_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/774/0977483_PE813612_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/alex-lagkapten-spr-09416820,meja, putih, 120x60 cm
TOBERGET,599000,"{' Ruang kerja rumah', ' Ruang kerja ', ' Kursi kerja rumah ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/950/0595064_PE675943_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/550/0855059_PE675936_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/kursi-kerja-rumah/toberget-art-70392660,kursi putar, Vissle hitam,
MALSKÄR/TOSSBERG,5199000,"{' Ruang kerja rumah', ' Ruang kerja ', ' Kursi kerja rumah ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/999/1199989_PE904797_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/999/1199985_PE904795_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/kursi-kerja-rumah/malskar-tossberg-spr-09508202,kursi putar, Grann cokelat muda/hitam,
RENBERGET,749000,"{' Ruang kerja rumah', ' Ruang kerja ', ' Kursi kerja rumah ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/201/1020135_PE831794_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/259/1025978_PE834273_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/kursi-kerja-rumah/renberget-art-20493548,kursi putar, Bomstad hitam,
MICKE,1799000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/982/0798268_PH165484_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/359/0735981_PE740299_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/micke-art-00354275,meja, hitam-cokelat, 105x50 cm
ALEX,1999000,"{' Ruang kerja rumah', ' Meja kerja rumah ', ' Ruang kerja ', 'Showroom '}","{'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/776/0977659_PE813726_S3.webp', 'https://d2xjmi1k71iy2m.cloudfront.net/dairyfarm/id/images/955/0995567_PE821753_S3.webp'}",https://www.ikea.co.id/in/produk/ruang-kerja-rumah/meja-kerja-rumah/alex-art-90473561,meja, diwarnai putih/efek kayu oak, 100x48 cm
